restaurant_id,restaurant_name,city,area,cuisines,avg_cost_for_two,rating,total_ratings,has_online_delivery,has_table_booking,opening_date,is_active
60,Tandoor Garden,Coimbatore,Singanallur,Seafood,350,4.8,3452,Yes,No,2015-06-16,Yes
61,Desi Restaurant,Jaipur,Malviya Nagar,Gujarati,200,4.7,358,No,No,2015-01-17,Yes
62,Rasoi Corner,Vadodara,Alkapuri,"Hyderabadi, Street Food, Chinese",250,3.0,4671,Yes,No,2018-09-30,Yes
63,Maa Ki Cafe,Nagpur,Sitabuldi,Kerala,500,2.5,4294,Yes,No,2017-09-04,Yes
64,Swaad Kitchen,Nagpur,Itwari,"Biryani, Seafood",700,3.2,1125,No,No,2017-02-27,Yes
65,Rasoi Hub,Coimbatore,Peelamedu,"Continental, Bengali, Fast Food",800,3.7,948,No,No,2022-04-09,Yes
66,Swagat Corner,Jaipur,Vaishali Nagar,"Gujarati, Continental, Street Food",1200,2.6,2057,Yes,No,2016-06-26,Yes
67,Masala Palace,Surat,Vesu,Gujarati,1000,3.0,917,Yes,No,2015-01-12,Yes
68,Paradise Cafe,Chandigarh,Sector 22,Continental,400,4.9,3112,Yes,No,2019-02-19,Yes
69,Udupi Express,Chennai,T Nagar,Street Food,600,4.9,3593,Yes,No,2020-06-29,Yes
70,Shahi Kitchen,Kochi,Thrippunithura,Rajasthani,350,3.0,914,Yes,Yes,2020-11-17,Yes
71,Saravana Dhaba,Jaipur,Vaishali Nagar,"Kerala, Chinese",600,3.4,1847,No,Yes,2021-07-30,Yes
72,Rasoi Corner,Nagpur,Sadar,"Street Food, Rajasthani",150,4.5,3990,No,Yes,2016-06-30,No
73,Punjabi Palace,Bhopal,Arera Colony,"Desserts, Kerala, Fast Food",200,3.2,4241,Yes,No,2022-09-26,Yes
74,Swagat Bistro,Mumbai,Bandra,Pizza,1500,3.1,4564,Yes,No,2017-10-29,Yes
75,Desi Dhaba,Bhopal,MP Nagar,"Hyderabadi, Bengali",400,2.5,1594,Yes,Yes,2021-05-15,Yes
76,Amantran Palace,Kochi,Kakkanad,"Biryani, Seafood, Desserts",500,3.7,1617,Yes,No,2016-01-29,Yes
77,Biryani Bros Hub,Chandigarh,Sector 35,"Burgers, Punjabi, Street Food",700,2.5,634,Yes,No,2019-10-31,Yes
78,Classic Kitchen,Ahmedabad,CG Road,Rajasthani,700,5.0,604,Yes,No,2019-08-17,No
79,Swaad House,Mysuru,Jayalakshmipuram,Desserts,150,3.1,4822,No,Yes,2016-02-01,Yes
80,Grand House,Coimbatore,Saibaba Colony,Burgers,800,2.8,2060,Yes,Yes,2017-08-27,Yes
81,Shahi Dhaba,Jaipur,Mansarovar,"Biryani, Bengali",200,2.7,4784,Yes,No,2018-09-16,Yes
82,Amantran Express,Mumbai,Powai,"Rajasthani, Hyderabadi",250,2.6,808,Yes,No,2022-10-21,Yes
83,New Corner,Kolkata,Salt Lake,South Indian,300,4.6,1629,Yes,No,2017-01-04,Yes
84,Paradise Hub,Delhi,Vasant Kunj,"Italian, South Indian, Continental",400,4.1,2464,No,Yes,2017-04-16,Yes
85,Udupi Dhaba,Pune,Aundh,Desserts,700,2.9,3453,Yes,Yes,2015-05-24,Yes
86,Desi Diner,Kolkata,Park Street,Bengali,1200,4.5,2190,Yes,No,2017-07-28,Yes
87,Swad House,Visakhapatnam,Steel Plant,"Bengali, Mughlai",1500,3.6,2596,Yes,No,2021-11-07,Yes
88,Udupi Garden,Mumbai,Andheri,"Hyderabadi, Rajasthani",800,2.8,1048,Yes,Yes,2016-01-08,No
89,Biryani Bros Tadka,Hyderabad,Madhapur,"Gujarati, Italian, South Indian",250,3.8,1908,Yes,Yes,2020-10-22,Yes
90,Haveli Restaurant,Bhopal,Kolar Road,Hyderabadi,200,3.3,4413,Yes,No,2021-03-12,Yes
91,Desi Corner,Chandigarh,Mohali,Bengali,300,2.8,1816,Yes,No,2020-07-02,Yes
92,Golden Diner,Visakhapatnam,Rushikonda,"Hyderabadi, Chinese, Burgers",250,4.2,2776,Yes,Yes,2020-03-02,Yes
93,Swad Dhaba,Mumbai,Borivali,"North Indian, Chinese, Burgers",1500,4.4,4809,Yes,Yes,2016-11-06,Yes
94,Paradise Express,Nagpur,Dharampeth,Chettinad,1200,2.9,2904,Yes,No,2015-04-16,Yes
95,Ghar Ka Garden,Bhopal,Habibganj,"Mughlai, Chinese",250,4.0,4731,No,No,2021-02-13,Yes
96,Desi Corner,Bhopal,MP Nagar,"Kerala, South Indian",500,3.7,4164,No,No,2018-07-10,Yes
97,Royal Dhaba,Delhi,Rohini,"Fast Food, Street Food, Seafood",1000,3.4,2971,Yes,No,2018-11-15,Yes
98,Swagat Bistro,Surat,Udhna,Bengali,1500,3.2,1876,Yes,No,2016-09-03,Yes
99,New Corner,Indore,Palasia,"Seafood, South Indian, Hyderabadi",1000,3.7,3341,Yes,Yes,2015-06-11,Yes
100,Haveli Bites,Visakhapatnam,Steel Plant,"Desserts, North Indian, Kerala",250,2.7,2203,Yes,Yes,2017-01-26,Yes
101,Punjabi Dhaba,Jaipur,Mansarovar,"Fast Food, Mughlai",600,3.7,2049,Yes,No,2021-02-20,Yes
102,Udupi Palace,Bhopal,MP Nagar,Italian,200,2.9,3287,Yes,No,2022-07-19,Yes
103,Ruchi Garden,Bhopal,Kolar Road,"Pizza, Mughlai",300,4.7,1079,Yes,No,2015-03-26,No
104,Punjabi Garden,Kochi,Edapally,"Chinese, Rajasthani",500,3.2,3203,Yes,No,2015-06-17,Yes
105,Shahi Tadka,Lucknow,Hazratganj,Desserts,700,4.2,2417,Yes,No,2018-10-24,Yes
106,Udupi Garden,Bengaluru,HSR Layout,"Fast Food, Pizza",800,4.9,4354,Yes,Yes,2020-10-02,Yes
107,Haveli Corner,Indore,AB Road,"Burgers, Italian",800,4.6,514,Yes,Yes,2020-03-22,Yes
108,Swaad House,Delhi,Karol Bagh,Biryani,300,4.6,2121,Yes,No,2018-12-25,Yes
109,Highway Cafe,Surat,Vesu,Chinese,1200,4.0,4320,No,No,2016-01-23,Yes
110,Bhavan House,Vadodara,Alkapuri,Gujarati,1000,4.2,4045,Yes,Yes,2016-01-10,Yes
111,Royal Diner,Chandigarh,Sector 22,Chinese,1500,4.0,4146,No,No,2015-12-10,Yes
112,Dawat Diner,Hyderabad,Secunderabad,"Kerala, North Indian, Gujarati",300,4.6,250,Yes,No,2017-01-27,Yes
113,Desi Dhaba,Hyderabad,Madhapur,Seafood,600,4.1,4084,Yes,No,2018-09-29,Yes
114,Maa Ki Diner,Visakhapatnam,Dwaraka Nagar,Chettinad,300,3.5,2842,Yes,Yes,2022-08-17,Yes
115,Golden Bistro,Lucknow,Indiranagar,"Gujarati, Pizza, Continental",350,3.1,3262,No,No,2021-01-17,Yes
116,Ghar Ka Diner,Coimbatore,Gandhipuram,Mughlai,300,4.0,4153,Yes,Yes,2016-10-07,Yes
117,Zaika Point,Mysuru,Chamundi Hill,"Chinese, Chettinad",150,4.2,2418,Yes,No,2017-11-11,No
118,New Express,Kochi,MG Road,"North Indian, Burgers, Street Food",500,3.6,389,Yes,Yes,2020-07-09,Yes
119,Royal House,Kochi,MG Road,Kerala,400,3.5,4986,Yes,Yes,2017-04-12,Yes
120,Golden Point,Chennai,Velachery,"Biryani, Continental, Mughlai",350,4.7,2924,Yes,No,2017-06-14,No
121,Saravana Bistro,Vadodara,Fatehgunj,"Punjabi, Bengali",1000,4.8,1737,Yes,No,2021-04-18,Yes
122,Tandoor Dhaba,Hyderabad,Jubilee Hills,"Rajasthani, Biryani, Burgers",300,3.7,4517,Yes,No,2018-05-07,Yes
123,Ruchi Express,Kolkata,Salt Lake,"Continental, South Indian, Chettinad",400,3.6,157,Yes,No,2022-06-25,Yes
124,Amantran Restaurant,Coimbatore,Singanallur,"Pizza, Gujarati",150,4.3,3721,Yes,No,2017-01-14,Yes
125,Amantran Diner,Surat,Ring Road,"Gujarati, Seafood, Pizza",1000,4.0,4927,No,Yes,2021-03-13,No
126,Haveli Express,Lucknow,Gomti Nagar,"Seafood, Gujarati, Street Food",400,3.9,2421,Yes,No,2016-08-24,Yes
127,Highway House,Coimbatore,Singanallur,Biryani,250,4.6,1837,Yes,Yes,2016-03-19,Yes
128,Haveli Kitchen,Surat,Ring Road,"Chettinad, North Indian",600,2.9,974,No,No,2021-04-04,Yes
129,Maa Ki House,Mysuru,Jayalakshmipuram,"Hyderabadi, Street Food",800,3.1,4944,Yes,No,2020-10-30,Yes
130,Swad Dhaba,Bhopal,Arera Colony,"North Indian, Desserts",1000,2.8,1177,No,No,2019-07-28,Yes
131,Udupi Express,Vadodara,Fatehgunj,"Italian, Bengali, Fast Food",1500,3.9,4703,No,No,2016-01-18,Yes
132,Spice Eatery,Bengaluru,Indiranagar,"Continental, Italian",1500,3.8,4691,Yes,Yes,2017-02-18,Yes
133,Udupi Cafe,Kolkata,Ballygunge,Gujarati,700,3.2,342,Yes,Yes,2018-06-26,Yes
134,Spice Diner,Ahmedabad,Navrangpura,"Seafood, Chettinad, Chinese",200,4.6,3181,Yes,Yes,2015-08-14,Yes
135,Zaika Dhaba,Kolkata,Howrah,Chinese,700,2.6,2297,Yes,No,2019-03-17,No
136,Zaika Kitchen,Bengaluru,Malleshwaram,"Bengali, Mughlai",700,3.0,4781,No,No,2022-01-22,Yes
137,Maa Ki Express,Chennai,Anna Nagar,Fast Food,150,4.7,3619,No,No,2018-01-11,Yes
138,Royal Bites,Surat,Vesu,Seafood,1000,2.8,1133,Yes,Yes,2019-08-14,No
139,Classic Eatery,Bengaluru,Malleshwaram,"Punjabi, Seafood, South Indian",800,4.2,4939,Yes,No,2016-10-21,Yes
140,Swad Palace,Surat,Ring Road,Biryani,300,3.6,740,Yes,No,2017-03-23,Yes
141,Annapurna Tadka,Pune,Viman Nagar,Rajasthani,200,3.7,1688,Yes,No,2021-02-09,Yes
142,Shahi Dhaba,Bengaluru,Jayanagar,"Continental, Street Food",300,4.6,2613,Yes,No,2019-09-25,Yes
143,Annapurna Tadka,Vadodara,Manjalpur,Biryani,600,2.7,4476,Yes,No,2017-06-12,Yes
144,Maa Ki Corner,Coimbatore,RS Puram,"Burgers, South Indian, Italian",350,3.8,784,No,No,2019-06-09,Yes
145,Paradise House,Delhi,Lajpat Nagar,"Fast Food, Continental, Seafood",700,2.8,1171,No,No,2020-04-10,Yes
146,Star Corner,Bhopal,Arera Colony,North Indian,1000,2.7,4036,Yes,Yes,2016-10-23,Yes
147,Star Diner,Jaipur,Mansarovar,Gujarati,400,4.3,4034,No,Yes,2021-02-14,Yes
148,Swaad Bistro,Ahmedabad,Maninagar,"Mughlai, Hyderabadi, Burgers",150,3.3,4699,No,No,2019-07-31,Yes
149,Haveli Diner,Nagpur,Itwari,"Continental, Rajasthani",1200,2.7,4077,Yes,No,2020-05-13,No
150,Annapurna Dhaba,Chennai,Anna Nagar,"Hyderabadi, Italian",1000,4.6,1488,Yes,No,2015-12-12,Yes
151,Golden Tadka,Chandigarh,Sector 22,"Desserts, North Indian, Burgers",600,4.8,2180,No,No,2021-01-17,Yes
152,Ruchi Corner,Bengaluru,Jayanagar,Gujarati,400,3.9,3751,Yes,No,2016-07-22,No
153,Swaad Diner,Vadodara,Sama,"Chettinad, Hyderabadi, Pizza",150,4.9,1049,Yes,No,2021-02-17,Yes
154,Swad Diner,Visakhapatnam,MVP Colony,"Chettinad, Fast Food, Kerala",1000,2.8,4971,Yes,No,2018-04-10,No
155,Ruchi Restaurant,Bhopal,Kolar Road,"Chinese, Pizza, Desserts",1000,3.9,3760,Yes,No,2020-01-25,Yes
156,Star Corner,Bengaluru,Whitefield,Hyderabadi,600,3.5,1615,Yes,Yes,2019-07-04,No
157,Udupi Restaurant,Mysuru,Chamundi Hill,"Chinese, Rajasthani, Punjabi",700,3.7,4449,Yes,No,2021-11-05,No
158,Biryani Bros Cafe,Kochi,Tripunithura,Burgers,800,3.0,322,Yes,No,2020-10-15,No
159,Ruchi Corner,Mumbai,Powai,"Street Food, Desserts, South Indian",350,4.7,2962,No,No,2022-10-19,No
160,Swagat Kitchen,Chandigarh,Sector 43,Continental,350,4.7,1451,Yes,No,2016-11-18,Yes
161,Star Tadka,Jaipur,Vaishali Nagar,"Gujarati, Seafood",250,3.4,2419,Yes,No,2017-03-14,Yes
162,Maa Ki Palace,Chennai,Nungambakkam,"Street Food, Biryani",800,4.8,2796,No,Yes,2021-02-15,Yes
163,Swad Point,Bengaluru,Malleshwaram,Hyderabadi,1200,5.0,3969,Yes,No,2018-10-15,Yes
164,Shahi Tadka,Pune,Baner,"Street Food, Chettinad, Burgers",800,4.5,3041,Yes,Yes,2020-12-09,No
165,Amantran Tadka,Hyderabad,Madhapur,"Desserts, North Indian",600,3.8,3174,Yes,Yes,2022-03-30,No
166,Ghar Ka Garden,Chandigarh,Sector 43,"Street Food, North Indian",350,4.1,992,Yes,Yes,2017-03-06,Yes
167,Shahi Kitchen,Visakhapatnam,Rushikonda,Kerala,400,4.0,2214,Yes,Yes,2022-11-26,Yes
168,Tandoor Restaurant,Kolkata,New Town,"Pizza, Rajasthani",400,4.6,1667,Yes,Yes,2016-03-16,Yes
169,Grand House,Indore,Rajwada,"Punjabi, Kerala",300,4.5,3674,Yes,Yes,2016-02-03,Yes
170,Classic Cafe,Visakhapatnam,Gajuwaka,"Continental, Pizza, Chinese",1500,3.4,3750,No,No,2015-05-25,No
171,Dawat Eatery,Hyderabad,Madhapur,"South Indian, Italian, Punjabi",350,3.4,1935,Yes,No,2015-01-28,Yes
172,Haveli Diner,Chennai,Adyar,"South Indian, Burgers",700,3.5,3694,No,No,2021-07-18,Yes
173,Biryani Bros Point,Pune,Viman Nagar,"Burgers, Fast Food, Hyderabadi",400,4.3,3466,Yes,No,2022-02-02,No
174,Dawat Cafe,Lucknow,Gomti Nagar,"Chettinad, Continental",1500,4.2,2732,Yes,Yes,2015-12-06,Yes
175,Desi Garden,Delhi,Connaught Place,"Street Food, Gujarati",300,2.7,1946,Yes,No,2022-04-05,Yes
176,Golden House,Chandigarh,Sector 35,Burgers,600,2.6,1681,No,No,2018-10-24,Yes
177,Tandoor Garden,Hyderabad,Hitech City,"Kerala, Seafood, Gujarati",800,5.0,4029,Yes,No,2021-07-30,Yes
178,Grand Bites,Kochi,Thrippunithura,"Pizza, Bengali, Italian",250,3.4,4231,Yes,No,2015-01-27,Yes
179,Dawat House,Kolkata,Park Street,Hyderabadi,1200,2.8,525,Yes,Yes,2016-03-09,No
180,Ruchi Garden,Chennai,Anna Nagar,"Chinese, South Indian, Seafood",200,3.8,3412,Yes,No,2015-02-03,Yes
181,Paradise Express,Kolkata,Howrah,Hyderabadi,1500,3.7,4259,Yes,No,2016-11-07,Yes
182,Grand Express,Pune,Viman Nagar,"Rajasthani, Burgers",1200,4.9,4614,Yes,No,2017-12-02,Yes
183,Classic Kitchen,Surat,Vesu,"Italian, Chinese",1500,4.6,3725,No,No,2020-09-23,No
184,Udupi Kitchen,Ahmedabad,Navrangpura,"Mughlai, Rajasthani, Continental",600,2.9,3755,Yes,Yes,2022-03-28,Yes
185,Ruchi Corner,Kolkata,Howrah,Burgers,250,2.9,4653,Yes,No,2017-01-14,Yes
186,Maa Ki Diner,Pune,Kothrud,"Gujarati, Chinese",350,3.1,4520,Yes,Yes,2022-03-07,Yes
187,Amantran Hub,Chandigarh,Sector 35,"Hyderabadi, Biryani, Burgers",350,3.2,1010,No,No,2021-03-27,Yes
188,Shahi Tadka,Nagpur,Sitabuldi,"Street Food, North Indian",400,3.2,2089,No,No,2021-05-27,Yes
189,Bhavan Bites,Pune,Aundh,Mughlai,250,3.6,1337,Yes,No,2021-05-27,Yes
190,Ghar Ka Eatery,Visakhapatnam,Rushikonda,"Continental, Biryani, Punjabi",400,2.8,4583,Yes,Yes,2022-12-09,Yes
191,Swad Bistro,Mumbai,Borivali,Desserts,1200,4.5,454,Yes,Yes,2019-06-15,Yes
192,Ghar Ka Eatery,Delhi,Karol Bagh,"Rajasthani, Kerala, Gujarati",800,3.6,1735,Yes,No,2020-09-03,No
193,Swaad Tadka,Indore,AB Road,South Indian,150,3.2,2484,Yes,No,2017-04-07,Yes
194,Zaika Bistro,Coimbatore,Singanallur,"Chinese, Desserts",300,4.7,4683,Yes,Yes,2016-10-29,Yes
195,Ghar Ka Express,Coimbatore,Gandhipuram,"North Indian, Chinese, Pizza",600,3.2,4199,Yes,Yes,2017-03-25,No
196,Swagat Diner,Kolkata,Park Street,"Chinese, Biryani",800,3.7,4996,Yes,Yes,2022-09-14,Yes
197,Desi Cafe,Delhi,Vasant Kunj,Biryani,200,4.7,3781,No,No,2016-10-06,Yes
198,Bhavan Restaurant,Delhi,Connaught Place,Continental,500,2.8,1490,Yes,Yes,2019-04-17,No
199,Desi Point,Delhi,Dwarka,"Kerala, Rajasthani, Street Food",800,4.4,1763,Yes,No,2017-03-21,No
200,Udupi Point,Kolkata,New Town,Hyderabadi,1000,2.9,2479,Yes,Yes,2015-02-24,Yes
201,Golden Garden,Pune,Kothrud,Hyderabadi,500,4.1,1161,Yes,Yes,2022-08-29,No
202,Desi Garden,Chandigarh,Sector 22,"Italian, North Indian",300,4.3,3014,Yes,No,2021-08-19,Yes
203,Maa Ki Dhaba,Bengaluru,Malleshwaram,Gujarati,400,2.8,4789,No,Yes,2021-09-08,Yes
204,Punjabi Cafe,Ahmedabad,CG Road,"Biryani, Bengali",700,3.3,3013,No,No,2019-01-10,Yes
205,Rasoi Restaurant,Kolkata,Park Street,"Italian, North Indian, Chettinad",150,3.6,2974,Yes,No,2020-05-27,Yes
206,Rasoi Kitchen,Vadodara,Akota,Chettinad,150,3.6,709,No,No,2021-12-12,No
207,Swaad Cafe,Mumbai,Powai,Pizza,1000,4.9,886,Yes,No,2020-12-15,Yes
208,Ruchi Dhaba,Pune,Hadapsar,Pizza,300,2.6,148,Yes,No,2015-05-13,Yes
209,Annapurna Diner,Coimbatore,Saibaba Colony,"Chettinad, Chinese",600,4.0,2861,Yes,No,2019-02-28,Yes
210,Rasoi Eatery,Pune,Viman Nagar,Italian,600,3.6,915,Yes,No,2017-10-25,Yes
211,Punjabi Kitchen,Hyderabad,Madhapur,North Indian,700,3.1,3690,No,No,2019-08-17,Yes
212,Saravana Kitchen,Nagpur,Sitabuldi,"North Indian, Kerala, Continental",400,3.6,1223,Yes,No,2022-07-08,Yes
213,Paradise Restaurant,Chandigarh,Sector 17,Kerala,500,3.6,2029,Yes,No,2015-06-23,Yes
214,Royal Garden,Chandigarh,Sector 17,"Kerala, Fast Food",350,3.0,3291,Yes,Yes,2020-07-08,Yes
215,Swagat Diner,Mumbai,Bandra,Desserts,700,4.2,3670,No,No,2020-12-17,Yes
216,Biryani Bros Dhaba,Visakhapatnam,Gajuwaka,Continental,150,3.3,1651,No,Yes,2021-04-17,Yes
217,Grand Tadka,Jaipur,Raja Park,"Italian, Chinese",800,2.7,1980,Yes,No,2018-12-17,Yes
218,Royal Palace,Mumbai,Bandra,"Bengali, Chettinad",350,4.9,4837,Yes,Yes,2016-02-15,Yes
219,Swagat Eatery,Delhi,Dwarka,"Rajasthani, Continental, Fast Food",150,4.4,2161,Yes,No,2015-06-02,No
220,Swagat Palace,Bengaluru,Malleshwaram,"North Indian, Burgers, Street Food",1200,2.7,1420,Yes,No,2022-06-27,No
221,Royal Garden,Visakhapatnam,Steel Plant,"Chettinad, Punjabi, Seafood",700,5.0,1842,Yes,Yes,2021-10-18,Yes
222,Swad Bistro,Coimbatore,Saibaba Colony,"Seafood, Hyderabadi",200,3.5,3139,Yes,Yes,2018-04-13,Yes
223,Royal Eatery,Nagpur,Wardha Road,"Gujarati, Fast Food",300,4.6,2650,No,Yes,2017-10-13,Yes
224,Bhavan Garden,Bhopal,Kolar Road,"Gujarati, Continental, Rajasthani",200,4.3,2173,Yes,No,2015-03-02,Yes
225,Paradise Kitchen,Mumbai,Andheri,"Rajasthani, Hyderabadi, Mughlai",200,3.5,1307,Yes,No,2016-03-08,Yes
226,Highway Restaurant,Hyderabad,Madhapur,Desserts,1200,4.4,4692,No,Yes,2022-09-04,Yes
227,Spice Garden,Bengaluru,HSR Layout,"Kerala, North Indian, Chinese",500,4.7,2501,Yes,Yes,2021-02-16,Yes
228,Dawat Hub,Mysuru,Chamundi Hill,"Rajasthani, Kerala, Desserts",150,3.8,515,Yes,No,2019-11-28,No
229,Biryani Bros Point,Delhi,Dwarka,"Chinese, Mughlai",500,3.9,2463,No,Yes,2017-02-12,Yes
230,Grand Eatery,Pune,Baner,"Gujarati, Fast Food, Mughlai",1000,3.6,4144,Yes,No,2021-09-23,Yes
