menu_item_id,restaurant_id,item_name,cuisine,veg_nonveg,price,is_available
35,5,Chicken Manchurian,Chinese,Non-Veg,80,Yes
36,5,Butter Chicken,North Indian,Non-Veg,450,Yes
37,6,Thali,South Indian,Veg,300,Yes
38,6,Appam Stew,Kerala,Veg,80,Yes
39,6,Chicken Pizza,Italian,Non-Veg,250,No
40,6,Rajma Rice,North Indian,Veg,300,Yes
41,6,Masala Dosa,South Indian,Veg,80,Yes
42,6,Chicken Biryani,Biryani,Non-Veg,100,No
43,6,Gulab Jamun,Desserts,Veg,150,Yes
44,6,Pav Bhaji,Street Food,Veg,200,Yes
45,6,Chole Bhature,North Indian,Veg,80,No
46,6,Litti Chokha,North Indian,Veg,150,No
47,6,Prawn Masala,Seafood,Non-Veg,100,Yes
48,7,Chicken Burger,Fast Food,Non-Veg,150,No
49,7,Hakka Noodles,Chinese,Veg,300,Yes
50,7,Idli Sambar,South Indian,Veg,400,No
51,7,Chicken Biryani,Biryani,Non-Veg,100,No
52,7,Veg Biryani,Biryani,Veg,250,Yes
53,8,Veg Biryani,Biryani,Veg,450,Yes
54,8,Butter Chicken,North Indian,Non-Veg,400,No
55,8,Appam Stew,Kerala,Veg,450,Yes
56,8,Fish Moilee,Kerala,Non-Veg,250,Yes
57,8,Chicken Tikka,Mughlai,Non-Veg,300,Yes
58,8,Vada Pav,Street Food,Veg,280,Yes
59,8,Paratha,North Indian,Veg,250,Yes
60,9,Chicken Tikka,Mughlai,Non-Veg,120,Yes
61,9,Mutton Rogan Josh,Mughlai,Non-Veg,350,No
62,9,Dal Makhani,North Indian,Veg,80,Yes
63,9,Chicken Pizza,Italian,Non-Veg,200,Yes
64,9,Paneer Tikka,North Indian,Veg,150,Yes
65,9,Masala Dosa,South Indian,Veg,450,Yes
66,9,Litti Chokha,North Indian,Veg,120,Yes
67,9,Thali,South Indian,Veg,300,Yes
68,9,Paratha,North Indian,Veg,180,No
69,9,Hyderabadi Biryani,Hyderabadi,Non-Veg,450,No
70,9,Idli Sambar,South Indian,Veg,120,No
71,9,Pav Bhaji,Street Food,Veg,300,Yes
72,10,Veg Burger,Fast Food,Veg,150,Yes
73,10,Idli Sambar,South Indian,Veg,250,No
74,10,Chicken Pizza,Italian,Non-Veg,100,No
75,10,Chicken Burger,Fast Food,Non-Veg,300,Yes
76,10,Fish Moilee,Kerala,Non-Veg,400,Yes
77,10,Pav Bhaji,Street Food,Veg,350,Yes
78,10,Vada Pav,Street Food,Veg,180,Yes
79,10,Veg Biryani,Biryani,Veg,500,Yes
80,11,Veg Biryani,Biryani,Veg,280,Yes
81,11,Margherita Pizza,Italian,Veg,120,No
82,11,Paneer Tikka,North Indian,Veg,280,No
83,11,Masala Dosa,South Indian,Veg,450,Yes
84,11,Pani Puri,Street Food,Veg,400,No
85,11,Appam Stew,Kerala,Veg,180,No
86,11,Gulab Jamun,Desserts,Veg,280,No
87,11,Veg Burger,Fast Food,Veg,450,No
88,11,Hyderabadi Biryani,Hyderabadi,Non-Veg,120,Yes
89,11,Vada Pav,Street Food,Veg,250,No
90,12,Pani Puri,Street Food,Veg,250,Yes
91,12,Butter Chicken,North Indian,Non-Veg,80,Yes
92,12,Fish Curry,Seafood,Non-Veg,250,Yes
93,12,Chicken Tikka,Mughlai,Non-Veg,300,Yes
94,12,Mutton Rogan Josh,Mughlai,Non-Veg,300,Yes
95,13,Mutton Rogan Josh,Mughlai,Non-Veg,400,Yes
96,13,Rasmalai,Desserts,Veg,220,Yes
97,13,Litti Chokha,North Indian,Veg,500,Yes
98,13,Gulab Jamun,Desserts,Veg,450,Yes
99,13,Masala Dosa,South Indian,Veg,150,Yes
100,13,Chicken Biryani,Biryani,Non-Veg,280,Yes
101,13,Chicken Pizza,Italian,Non-Veg,280,No
102,13,Pani Puri,Street Food,Veg,180,No
103,13,Paneer Tikka,North Indian,Veg,80,Yes
104,13,Veg Burger,Fast Food,Veg,100,Yes
105,13,Margherita Pizza,Italian,Veg,300,No
106,13,Fish Moilee,Kerala,Non-Veg,200,Yes
107,14,Idli Sambar,South Indian,Veg,200,Yes
108,14,Masala Dosa,South Indian,Veg,80,Yes
109,14,Paratha,North Indian,Veg,450,Yes
110,14,Butter Chicken,North Indian,Non-Veg,80,Yes
111,14,Pani Puri,Street Food,Veg,80,Yes
112,14,Chicken Biryani,Biryani,Non-Veg,280,No
113,14,Appam Stew,Kerala,Veg,150,Yes
114,14,Chole Bhature,North Indian,Veg,400,No
115,14,Chicken Manchurian,Chinese,Non-Veg,250,Yes
116,14,Thali,South Indian,Veg,300,Yes
117,14,Fish Moilee,Kerala,Non-Veg,300,Yes
118,15,Fish Curry,Seafood,Non-Veg,180,Yes
119,15,Gulab Jamun,Desserts,Veg,220,Yes
120,15,Hyderabadi Biryani,Hyderabadi,Non-Veg,80,Yes
121,15,Chicken Biryani,Biryani,Non-Veg,220,Yes
122,15,Veg Biryani,Biryani,Veg,500,Yes
123,16,Veg Burger,Fast Food,Veg,280,No
124,16,Chicken Manchurian,Chinese,Non-Veg,400,Yes
125,16,Chole Bhature,North Indian,Veg,220,Yes
126,16,Hakka Noodles,Chinese,Veg,280,Yes
127,16,Rajma Rice,North Indian,Veg,180,Yes
128,16,Gulab Jamun,Desserts,Veg,500,No
129,16,Pani Puri,Street Food,Veg,250,Yes
130,17,Dal Makhani,North Indian,Veg,220,Yes
131,17,Paneer Tikka,North Indian,Veg,100,Yes
132,17,Thali,South Indian,Veg,250,Yes
133,17,Butter Chicken,North Indian,Non-Veg,100,Yes
134,17,Rasmalai,Desserts,Veg,200,Yes
135,17,Gulab Jamun,Desserts,Veg,350,Yes
136,17,Fish Curry,Seafood,Non-Veg,400,Yes
137,17,Chicken Tikka,Mughlai,Non-Veg,200,Yes
138,17,Veg Burger,Fast Food,Veg,450,Yes
139,17,Pani Puri,Street Food,Veg,120,Yes
140,17,Chicken Burger,Fast Food,Non-Veg,150,Yes
141,18,Chicken Biryani,Biryani,Non-Veg,150,Yes
142,18,Pav Bhaji,Street Food,Veg,220,No
143,18,Chole Bhature,North Indian,Veg,80,No
144,18,Vada Pav,Street Food,Veg,200,No
145,18,Hyderabadi Biryani,Hyderabadi,Non-Veg,300,Yes
146,19,Gulab Jamun,Desserts,Veg,100,Yes
147,19,Thali,South Indian,Veg,280,Yes
148,19,Paratha,North Indian,Veg,180,Yes
149,19,Chicken Tikka,Mughlai,Non-Veg,450,Yes
150,19,Margherita Pizza,Italian,Veg,400,Yes
151,19,Chicken Pizza,Italian,Non-Veg,400,Yes
152,19,Hakka Noodles,Chinese,Veg,120,Yes
153,19,Masala Dosa,South Indian,Veg,280,No
154,19,Paneer Tikka,North Indian,Veg,300,Yes
155,20,Masala Dosa,South Indian,Veg,200,Yes
156,20,Thali,South Indian,Veg,250,Yes
157,20,Margherita Pizza,Italian,Veg,400,Yes
158,20,Paneer Tikka,North Indian,Veg,120,No
159,20,Fish Curry,Seafood,Non-Veg,150,Yes
160,21,Chicken Pizza,Italian,Non-Veg,180,Yes
161,21,Mutton Rogan Josh,Mughlai,Non-Veg,120,Yes
162,21,Idli Sambar,South Indian,Veg,450,Yes
163,21,Dal Makhani,North Indian,Veg,280,Yes
164,21,Pav Bhaji,Street Food,Veg,100,Yes
165,21,Hakka Noodles,Chinese,Veg,350,No
166,21,Butter Chicken,North Indian,Non-Veg,100,Yes
167,21,Rajma Rice,North Indian,Veg,450,Yes
168,22,Gulab Jamun,Desserts,Veg,120,Yes
169,22,Butter Chicken,North Indian,Non-Veg,80,Yes
170,22,Mutton Rogan Josh,Mughlai,Non-Veg,220,No
171,22,Veg Burger,Fast Food,Veg,80,Yes
172,22,Margherita Pizza,Italian,Veg,100,Yes
173,22,Veg Biryani,Biryani,Veg,280,Yes
174,22,Paneer Tikka,North Indian,Veg,280,Yes
175,22,Rajma Rice,North Indian,Veg,250,Yes
176,22,Hakka Noodles,Chinese,Veg,80,Yes
177,22,Rasmalai,Desserts,Veg,400,Yes
178,23,Thali,South Indian,Veg,100,Yes
179,23,Masala Dosa,South Indian,Veg,80,Yes
180,23,Gulab Jamun,Desserts,Veg,280,Yes
181,23,Rajma Rice,North Indian,Veg,80,No
182,23,Chicken Burger,Fast Food,Non-Veg,400,No
183,23,Chicken Pizza,Italian,Non-Veg,220,Yes
184,23,Chicken Biryani,Biryani,Non-Veg,150,Yes
185,23,Pav Bhaji,Street Food,Veg,180,No
186,24,Thali,South Indian,Veg,250,No
187,24,Mutton Rogan Josh,Mughlai,Non-Veg,150,Yes
188,24,Chicken Burger,Fast Food,Non-Veg,220,Yes
189,24,Idli Sambar,South Indian,Veg,100,Yes
190,24,Masala Dosa,South Indian,Veg,200,Yes
191,25,Pav Bhaji,Street Food,Veg,150,Yes
192,25,Chicken Manchurian,Chinese,Non-Veg,250,Yes
193,25,Rajma Rice,North Indian,Veg,180,Yes
194,25,Appam Stew,Kerala,Veg,200,No
195,25,Chicken Burger,Fast Food,Non-Veg,100,No
196,26,Prawn Masala,Seafood,Non-Veg,220,No
197,26,Idli Sambar,South Indian,Veg,80,No
198,26,Thali,South Indian,Veg,500,No
199,26,Vada Pav,Street Food,Veg,400,No
200,26,Hyderabadi Biryani,Hyderabadi,Non-Veg,200,No
201,26,Veg Biryani,Biryani,Veg,120,Yes
202,26,Rajma Rice,North Indian,Veg,180,Yes
203,26,Veg Burger,Fast Food,Veg,300,No
204,26,Masala Dosa,South Indian,Veg,220,No
205,26,Hakka Noodles,Chinese,Veg,280,Yes
206,26,Litti Chokha,North Indian,Veg,450,Yes
207,27,Hakka Noodles,Chinese,Veg,220,Yes
208,27,Fish Moilee,Kerala,Non-Veg,450,Yes
209,27,Chicken Biryani,Biryani,Non-Veg,280,No
210,27,Veg Burger,Fast Food,Veg,180,Yes
211,27,Idli Sambar,South Indian,Veg,120,Yes
212,27,Gulab Jamun,Desserts,Veg,200,Yes
213,27,Paneer Tikka,North Indian,Veg,450,Yes
214,27,Chicken Burger,Fast Food,Non-Veg,180,Yes
215,27,Chole Bhature,North Indian,Veg,180,No
216,27,Pav Bhaji,Street Food,Veg,400,No
217,27,Butter Chicken,North Indian,Non-Veg,280,Yes
218,27,Rajma Rice,North Indian,Veg,100,Yes
219,28,Vada Pav,Street Food,Veg,400,Yes
220,28,Appam Stew,Kerala,Veg,120,Yes
221,28,Chicken Burger,Fast Food,Non-Veg,180,Yes
222,28,Chicken Pizza,Italian,Non-Veg,80,No
223,28,Chicken Tikka,Mughlai,Non-Veg,350,Yes
224,28,Rasmalai,Desserts,Veg,450,Yes
225,29,Hyderabadi Biryani,Hyderabadi,Non-Veg,250,Yes
226,29,Veg Biryani,Biryani,Veg,280,Yes
227,29,Thali,South Indian,Veg,280,Yes
228,29,Veg Burger,Fast Food,Veg,250,Yes
229,29,Paratha,North Indian,Veg,80,No
230,29,Rasmalai,Desserts,Veg,150,Yes
231,30,Vada Pav,Street Food,Veg,400,Yes
232,30,Veg Burger,Fast Food,Veg,280,Yes
233,30,Gulab Jamun,Desserts,Veg,300,No
234,30,Appam Stew,Kerala,Veg,280,Yes
235,30,Mutton Rogan Josh,Mughlai,Non-Veg,220,No
236,30,Fish Curry,Seafood,Non-Veg,180,Yes
237,30,Hyderabadi Biryani,Hyderabadi,Non-Veg,200,Yes
238,30,Idli Sambar,South Indian,Veg,500,Yes
239,31,Idli Sambar,South Indian,Veg,180,Yes
240,31,Chicken Biryani,Biryani,Non-Veg,350,Yes
241,31,Fish Moilee,Kerala,Non-Veg,100,Yes
242,31,Thali,South Indian,Veg,150,Yes
243,31,Pav Bhaji,Street Food,Veg,100,No
244,32,Mutton Rogan Josh,Mughlai,Non-Veg,80,Yes
245,32,Rasmalai,Desserts,Veg,250,Yes
246,32,Rajma Rice,North Indian,Veg,100,No
247,32,Fish Curry,Seafood,Non-Veg,80,Yes
248,32,Chicken Pizza,Italian,Non-Veg,150,Yes
249,33,Paratha,North Indian,Veg,280,Yes
250,33,Chole Bhature,North Indian,Veg,100,Yes
251,33,Veg Biryani,Biryani,Veg,450,Yes
252,33,Rasmalai,Desserts,Veg,80,Yes
253,33,Hakka Noodles,Chinese,Veg,150,Yes
254,34,Fish Moilee,Kerala,Non-Veg,80,Yes
255,34,Veg Biryani,Biryani,Veg,350,No
256,34,Dal Makhani,North Indian,Veg,120,Yes
257,34,Thali,South Indian,Veg,350,Yes
258,34,Hyderabadi Biryani,Hyderabadi,Non-Veg,400,Yes
259,34,Paratha,North Indian,Veg,100,Yes
260,34,Chicken Manchurian,Chinese,Non-Veg,500,No
261,34,Pani Puri,Street Food,Veg,500,Yes
262,34,Gulab Jamun,Desserts,Veg,500,Yes
263,34,Hakka Noodles,Chinese,Veg,80,Yes
264,34,Prawn Masala,Seafood,Non-Veg,100,Yes
265,34,Chicken Pizza,Italian,Non-Veg,250,Yes
266,35,Vada Pav,Street Food,Veg,280,No
267,35,Fish Curry,Seafood,Non-Veg,280,Yes
268,35,Idli Sambar,South Indian,Veg,250,Yes
269,35,Paratha,North Indian,Veg,450,No
270,35,Veg Biryani,Biryani,Veg,300,Yes
271,35,Butter Chicken,North Indian,Non-Veg,400,Yes
272,35,Chicken Manchurian,Chinese,Non-Veg,250,Yes
273,35,Litti Chokha,North Indian,Veg,220,Yes
274,36,Butter Chicken,North Indian,Non-Veg,350,No
275,36,Prawn Masala,Seafood,Non-Veg,180,No
276,36,Paratha,North Indian,Veg,250,Yes
277,36,Fish Curry,Seafood,Non-Veg,280,Yes
278,36,Veg Biryani,Biryani,Veg,250,Yes
279,36,Hyderabadi Biryani,Hyderabadi,Non-Veg,500,Yes
280,36,Rasmalai,Desserts,Veg,80,No
281,36,Chicken Manchurian,Chinese,Non-Veg,220,Yes
282,36,Masala Dosa,South Indian,Veg,80,Yes
283,36,Veg Burger,Fast Food,Veg,450,Yes
284,36,Chole Bhature,North Indian,Veg,280,Yes
285,37,Appam Stew,Kerala,Veg,150,Yes
286,37,Pav Bhaji,Street Food,Veg,150,No
287,37,Hakka Noodles,Chinese,Veg,120,Yes
288,37,Fish Curry,Seafood,Non-Veg,500,Yes
289,37,Paneer Tikka,North Indian,Veg,220,Yes
290,37,Butter Chicken,North Indian,Non-Veg,450,No
291,37,Idli Sambar,South Indian,Veg,300,No
292,37,Chicken Burger,Fast Food,Non-Veg,280,Yes
293,37,Chicken Tikka,Mughlai,Non-Veg,500,No
294,37,Mutton Rogan Josh,Mughlai,Non-Veg,180,No
295,38,Butter Chicken,North Indian,Non-Veg,300,Yes
296,38,Margherita Pizza,Italian,Veg,400,Yes
297,38,Appam Stew,Kerala,Veg,100,Yes
298,38,Hakka Noodles,Chinese,Veg,80,Yes
299,38,Veg Burger,Fast Food,Veg,500,No
300,38,Litti Chokha,North Indian,Veg,180,Yes
301,38,Pav Bhaji,Street Food,Veg,220,Yes
302,38,Chicken Biryani,Biryani,Non-Veg,80,No
303,38,Chicken Pizza,Italian,Non-Veg,80,Yes
304,38,Rasmalai,Desserts,Veg,150,Yes
305,38,Veg Biryani,Biryani,Veg,80,Yes
306,38,Dal Makhani,North Indian,Veg,450,Yes
307,39,Litti Chokha,North Indian,Veg,300,Yes
308,39,Chole Bhature,North Indian,Veg,180,Yes
309,39,Paratha,North Indian,Veg,280,Yes
310,39,Rajma Rice,North Indian,Veg,150,Yes
311,39,Pani Puri,Street Food,Veg,80,Yes
312,39,Veg Biryani,Biryani,Veg,100,No
313,39,Rasmalai,Desserts,Veg,300,Yes
314,39,Prawn Masala,Seafood,Non-Veg,500,Yes
315,39,Dal Makhani,North Indian,Veg,200,Yes
316,40,Masala Dosa,South Indian,Veg,220,No
317,40,Veg Biryani,Biryani,Veg,400,Yes
318,40,Pav Bhaji,Street Food,Veg,450,No
319,40,Pani Puri,Street Food,Veg,400,Yes
320,40,Chicken Biryani,Biryani,Non-Veg,220,Yes
321,41,Veg Burger,Fast Food,Veg,100,Yes
322,41,Litti Chokha,North Indian,Veg,200,Yes
323,41,Rasmalai,Desserts,Veg,500,Yes
324,41,Vada Pav,Street Food,Veg,450,Yes
325,41,Dal Makhani,North Indian,Veg,250,No
326,41,Mutton Rogan Josh,Mughlai,Non-Veg,180,Yes
327,41,Prawn Masala,Seafood,Non-Veg,250,No
328,41,Chicken Biryani,Biryani,Non-Veg,500,Yes
329,42,Chicken Manchurian,Chinese,Non-Veg,250,No
330,42,Dal Makhani,North Indian,Veg,200,Yes
331,42,Prawn Masala,Seafood,Non-Veg,120,Yes
332,42,Vada Pav,Street Food,Veg,300,Yes
333,42,Fish Moilee,Kerala,Non-Veg,450,No
334,42,Rajma Rice,North Indian,Veg,280,Yes
335,42,Veg Biryani,Biryani,Veg,200,Yes
336,42,Masala Dosa,South Indian,Veg,180,Yes
337,42,Litti Chokha,North Indian,Veg,220,Yes
338,42,Chicken Biryani,Biryani,Non-Veg,450,No
339,43,Dal Makhani,North Indian,Veg,220,Yes
340,43,Rajma Rice,North Indian,Veg,450,Yes
341,43,Margherita Pizza,Italian,Veg,220,No
342,43,Butter Chicken,North Indian,Non-Veg,250,Yes
343,43,Masala Dosa,South Indian,Veg,80,Yes
344,43,Mutton Rogan Josh,Mughlai,Non-Veg,100,No
345,43,Hyderabadi Biryani,Hyderabadi,Non-Veg,100,Yes
346,44,Chole Bhature,North Indian,Veg,350,Yes
347,44,Paneer Tikka,North Indian,Veg,250,Yes
348,44,Fish Moilee,Kerala,Non-Veg,150,Yes
349,44,Fish Curry,Seafood,Non-Veg,250,Yes
350,44,Hakka Noodles,Chinese,Veg,180,Yes
351,44,Veg Biryani,Biryani,Veg,280,Yes
352,44,Pav Bhaji,Street Food,Veg,450,Yes
353,44,Margherita Pizza,Italian,Veg,250,Yes
354,44,Chicken Tikka,Mughlai,Non-Veg,500,Yes
355,44,Chicken Burger,Fast Food,Non-Veg,500,Yes
356,44,Chicken Manchurian,Chinese,Non-Veg,280,Yes
357,44,Prawn Masala,Seafood,Non-Veg,400,No
358,45,Margherita Pizza,Italian,Veg,450,No
359,45,Paneer Tikka,North Indian,Veg,350,No
360,45,Idli Sambar,South Indian,Veg,120,No
361,45,Gulab Jamun,Desserts,Veg,120,Yes
362,45,Litti Chokha,North Indian,Veg,80,No
363,45,Vada Pav,Street Food,Veg,220,No
364,45,Chicken Tikka,Mughlai,Non-Veg,180,Yes
365,46,Hakka Noodles,Chinese,Veg,150,Yes
366,46,Chicken Burger,Fast Food,Non-Veg,250,Yes
367,46,Thali,South Indian,Veg,500,Yes
368,46,Margherita Pizza,Italian,Veg,200,Yes
369,46,Veg Burger,Fast Food,Veg,400,No
370,47,Chicken Pizza,Italian,Non-Veg,220,Yes
371,47,Paratha,North Indian,Veg,450,Yes
372,47,Masala Dosa,South Indian,Veg,280,No
373,47,Pav Bhaji,Street Food,Veg,300,Yes
374,47,Rasmalai,Desserts,Veg,120,Yes
375,47,Litti Chokha,North Indian,Veg,400,Yes
376,47,Chole Bhature,North Indian,Veg,450,Yes
377,47,Fish Curry,Seafood,Non-Veg,450,Yes
378,47,Pani Puri,Street Food,Veg,180,Yes
379,47,Thali,South Indian,Veg,200,Yes
380,47,Chicken Manchurian,Chinese,Non-Veg,350,Yes
381,47,Paneer Tikka,North Indian,Veg,250,Yes
382,48,Rajma Rice,North Indian,Veg,220,No
383,48,Chicken Biryani,Biryani,Non-Veg,80,No
384,48,Vada Pav,Street Food,Veg,280,No
385,48,Rasmalai,Desserts,Veg,250,Yes
386,48,Hakka Noodles,Chinese,Veg,200,Yes
387,48,Chicken Pizza,Italian,Non-Veg,120,No
388,48,Chicken Tikka,Mughlai,Non-Veg,500,Yes
389,48,Butter Chicken,North Indian,Non-Veg,300,Yes
390,48,Litti Chokha,North Indian,Veg,150,Yes
391,48,Chole Bhature,North Indian,Veg,120,Yes
392,48,Veg Burger,Fast Food,Veg,250,Yes
393,49,Rajma Rice,North Indian,Veg,250,Yes
394,49,Fish Moilee,Kerala,Non-Veg,100,Yes
395,49,Masala Dosa,South Indian,Veg,500,No
396,49,Hakka Noodles,Chinese,Veg,500,Yes
397,49,Pani Puri,Street Food,Veg,350,No
398,49,Chole Bhature,North Indian,Veg,220,Yes
399,49,Idli Sambar,South Indian,Veg,250,Yes
400,49,Paneer Tikka,North Indian,Veg,220,Yes
401,49,Appam Stew,Kerala,Veg,80,Yes
402,49,Veg Burger,Fast Food,Veg,120,Yes
403,49,Litti Chokha,North Indian,Veg,100,Yes
404,50,Fish Moilee,Kerala,Non-Veg,100,No
405,50,Prawn Masala,Seafood,Non-Veg,300,Yes
406,50,Margherita Pizza,Italian,Veg,150,Yes
407,50,Gulab Jamun,Desserts,Veg,120,Yes
408,50,Thali,South Indian,Veg,120,No
409,50,Dal Makhani,North Indian,Veg,300,Yes
410,50,Paneer Tikka,North Indian,Veg,100,Yes
411,50,Pav Bhaji,Street Food,Veg,120,No
412,50,Idli Sambar,South Indian,Veg,180,No
413,51,Paneer Tikka,North Indian,Veg,250,Yes
414,51,Chicken Pizza,Italian,Non-Veg,150,Yes
415,51,Prawn Masala,Seafood,Non-Veg,220,Yes
416,51,Butter Chicken,North Indian,Non-Veg,250,Yes
417,51,Chicken Biryani,Biryani,Non-Veg,200,Yes
418,51,Hakka Noodles,Chinese,Veg,80,Yes
419,52,Chole Bhature,North Indian,Veg,220,Yes
420,52,Idli Sambar,South Indian,Veg,500,Yes
421,52,Chicken Pizza,Italian,Non-Veg,500,No
422,52,Fish Moilee,Kerala,Non-Veg,120,Yes
423,52,Hakka Noodles,Chinese,Veg,450,No
424,52,Thali,South Indian,Veg,220,Yes
425,52,Chicken Tikka,Mughlai,Non-Veg,280,Yes
426,52,Rajma Rice,North Indian,Veg,280,Yes
427,53,Rajma Rice,North Indian,Veg,180,Yes
428,53,Margherita Pizza,Italian,Veg,120,Yes
429,53,Hyderabadi Biryani,Hyderabadi,Non-Veg,300,Yes
430,53,Pani Puri,Street Food,Veg,100,Yes
431,53,Vada Pav,Street Food,Veg,400,Yes
432,54,Hakka Noodles,Chinese,Veg,500,Yes
433,54,Paratha,North Indian,Veg,120,Yes
434,54,Idli Sambar,South Indian,Veg,500,No
435,54,Hyderabadi Biryani,Hyderabadi,Non-Veg,150,Yes
436,54,Chicken Manchurian,Chinese,Non-Veg,350,Yes
437,54,Litti Chokha,North Indian,Veg,180,No
438,54,Prawn Masala,Seafood,Non-Veg,80,Yes
439,55,Paratha,North Indian,Veg,200,Yes
440,55,Chicken Pizza,Italian,Non-Veg,300,No
441,55,Hakka Noodles,Chinese,Veg,180,Yes
442,55,Margherita Pizza,Italian,Veg,80,No
443,55,Chicken Burger,Fast Food,Non-Veg,400,Yes
444,55,Vada Pav,Street Food,Veg,280,No
445,55,Idli Sambar,South Indian,Veg,180,Yes
446,55,Litti Chokha,North Indian,Veg,220,No
447,55,Rajma Rice,North Indian,Veg,200,No
448,55,Prawn Masala,Seafood,Non-Veg,500,Yes
449,55,Mutton Rogan Josh,Mughlai,Non-Veg,120,Yes
450,56,Veg Burger,Fast Food,Veg,500,Yes
451,56,Paratha,North Indian,Veg,300,Yes
452,56,Pani Puri,Street Food,Veg,120,Yes
453,56,Veg Biryani,Biryani,Veg,450,Yes
454,56,Gulab Jamun,Desserts,Veg,200,Yes
455,57,Rasmalai,Desserts,Veg,150,Yes
456,57,Paneer Tikka,North Indian,Veg,120,Yes
457,57,Chicken Tikka,Mughlai,Non-Veg,150,Yes
458,57,Litti Chokha,North Indian,Veg,150,Yes
459,57,Prawn Masala,Seafood,Non-Veg,80,Yes
460,57,Gulab Jamun,Desserts,Veg,150,Yes
461,57,Thali,South Indian,Veg,100,Yes
462,57,Hyderabadi Biryani,Hyderabadi,Non-Veg,120,Yes
463,58,Pav Bhaji,Street Food,Veg,450,Yes
464,58,Litti Chokha,North Indian,Veg,150,No
465,58,Paneer Tikka,North Indian,Veg,300,Yes
466,58,Veg Biryani,Biryani,Veg,400,Yes
467,58,Rasmalai,Desserts,Veg,300,Yes
468,58,Rajma Rice,North Indian,Veg,450,Yes
469,58,Dal Makhani,North Indian,Veg,150,Yes
470,58,Vada Pav,Street Food,Veg,180,Yes
471,58,Mutton Rogan Josh,Mughlai,Non-Veg,220,Yes
472,58,Paratha,North Indian,Veg,300,No
473,59,Butter Chicken,North Indian,Non-Veg,400,Yes
474,59,Appam Stew,Kerala,Veg,100,Yes
475,59,Prawn Masala,Seafood,Non-Veg,500,Yes
476,59,Pani Puri,Street Food,Veg,450,Yes
477,59,Pav Bhaji,Street Food,Veg,100,Yes
478,59,Gulab Jamun,Desserts,Veg,300,Yes
479,59,Rajma Rice,North Indian,Veg,250,Yes
480,60,Vada Pav,Street Food,Veg,220,Yes
481,60,Litti Chokha,North Indian,Veg,100,No
482,60,Rasmalai,Desserts,Veg,250,Yes
483,60,Thali,South Indian,Veg,300,Yes
484,60,Fish Moilee,Kerala,Non-Veg,180,Yes
485,60,Masala Dosa,South Indian,Veg,100,Yes
486,60,Paneer Tikka,North Indian,Veg,220,Yes
487,60,Veg Biryani,Biryani,Veg,300,Yes
488,60,Hyderabadi Biryani,Hyderabadi,Non-Veg,350,Yes
489,60,Dal Makhani,North Indian,Veg,300,Yes
490,60,Chicken Manchurian,Chinese,Non-Veg,250,Yes
491,61,Gulab Jamun,Desserts,Veg,400,Yes
492,61,Masala Dosa,South Indian,Veg,100,No
493,61,Idli Sambar,South Indian,Veg,200,Yes
494,61,Margherita Pizza,Italian,Veg,400,No
495,61,Hakka Noodles,Chinese,Veg,120,No
496,61,Chicken Biryani,Biryani,Non-Veg,500,Yes
497,62,Vada Pav,Street Food,Veg,100,No
498,62,Masala Dosa,South Indian,Veg,450,Yes
499,62,Veg Burger,Fast Food,Veg,80,Yes
500,62,Fish Curry,Seafood,Non-Veg,300,Yes
501,62,Chicken Burger,Fast Food,Non-Veg,350,Yes
502,62,Margherita Pizza,Italian,Veg,200,Yes
