review_id,order_id,customer_id,restaurant_id,food_rating,delivery_rating,overall_rating,review_comment,review_date
82,42,767,388,5,3,3.6,"Too oily, not recommended.",2022-12-06
83,1126,31,498,5,4,1.9,"Good quality, reasonable price.",2022-08-23
84,2035,1486,411,5,1,4.5,"Fast delivery, fresh food.",2023-01-17
85,922,1410,128,4,4,2.7,Will definitely recommend to friends.,2023-06-26
86,1477,1564,463,4,5,2.7,Delivery was late but food was good.,2023-07-11
87,186,1503,122,4,4,2.8,Hygienic and tasty.,2023-05-29
88,2704,358,48,4,1,3.7,Loved the paneer dishes.,2023-12-29
89,3092,1234,87,2,4,3.7,"Fast delivery, fresh food.",2022-04-09
90,2138,305,59,5,1,1.3,Food was not as per menu description.,2023-10-10
91,4594,856,54,4,2,4.2,"Amazing food, will order again!",2022-08-21
92,3612,1103,372,1,2,2.6,Will definitely recommend to friends.,2023-01-21
93,3926,1113,166,3,4,4.2,Hygienic and tasty.,2023-04-15
94,775,603,195,3,4,1.8,Will definitely recommend to friends.,2023-01-11
95,1150,146,2,3,1,4.3,"Very bad experience, food was cold.",2023-03-06
96,114,8,345,1,3,1.5,"Average food, nothing special.",2022-07-06
97,930,695,27,4,1,2.7,"Average food, nothing special.",2022-03-15
98,4978,911,160,2,3,3.4,Delivery was late but food was good.,2022-04-22
99,2311,413,372,5,1,2.9,Delivery was late but food was good.,2022-09-28
100,3957,752,134,1,2,2.1,Best biryani in the city!,2022-01-30
101,4457,1560,149,3,3,3.4,One of my favourite restaurants.,2023-05-28
102,429,1085,168,4,5,3.6,"Amazing food, will order again!",2022-06-20
103,4747,58,173,4,2,1.4,Will definitely recommend to friends.,2022-08-30
104,3601,378,352,4,2,3.1,"Too oily, not recommended.",2023-10-17
105,1367,628,165,2,2,4.5,Excellent taste and packaging.,2022-02-05
106,1220,8,459,1,4,2.2,"Fast delivery, fresh food.",2023-07-04
107,523,294,389,4,4,2.6,Great ambience and service.,2023-12-10
108,162,53,61,5,2,2.0,Portion size could be bigger.,2022-08-09
109,185,1723,105,3,2,1.5,"Very bad experience, food was cold.",2022-10-20
110,2570,1638,290,2,5,2.3,"Good quality, reasonable price.",2022-10-25
111,666,1416,56,5,1,1.8,"Decent food, average service.",2023-09-23
112,4867,1637,193,3,3,3.9,Best biryani in the city!,2023-08-18
113,4721,1852,150,3,4,2.6,"Decent food, average service.",2023-11-11
114,740,786,463,5,4,3.1,"Good quality, reasonable price.",2023-07-18
115,1377,1317,84,4,4,4.9,Best biryani in the city!,2022-06-04
116,1748,1667,195,2,3,2.4,Great ambience and service.,2022-01-26
117,130,372,222,4,1,2.1,Great ambience and service.,2023-06-08
118,845,1000,263,4,4,3.1,"Fast delivery, fresh food.",2023-02-09
119,3654,503,4,5,5,2.2,Restaurant staff was helpful.,2022-05-16
120,1684,1313,448,1,1,3.4,"Decent food, average service.",2023-06-08
121,4385,815,263,5,3,3.4,Great ambience and service.,2023-10-09
122,4267,845,343,3,4,4.1,One of my favourite restaurants.,2022-07-26
123,4072,405,476,2,4,3.8,One of my favourite restaurants.,2022-04-13
124,3078,761,322,1,5,5.0,Value for money.,2022-11-29
125,454,128,120,1,3,3.9,"Amazing food, will order again!",2022-02-20
126,908,403,111,3,4,2.7,Best biryani in the city!,2023-05-08
127,2933,367,417,5,4,3.6,"Average food, nothing special.",2023-11-01
128,2620,734,238,5,4,3.3,"Very bad experience, food was cold.",2023-01-08
129,2404,1135,471,2,1,3.0,"Very bad experience, food was cold.",2022-08-25
130,3635,543,451,2,3,2.9,Food was not as per menu description.,2023-09-18
131,1082,1634,334,5,2,4.0,Disappointed with the quality.,2022-12-17
132,2682,743,135,4,4,4.2,Hygienic and tasty.,2022-01-23
133,1363,320,34,1,4,4.8,Excellent taste and packaging.,2022-04-19
134,1464,170,79,3,1,4.1,Portion size could be bigger.,2023-08-05
135,1693,34,497,5,3,4.9,Restaurant staff was helpful.,2022-02-22
136,389,1918,130,3,3,4.5,Loved the paneer dishes.,2023-04-09
137,1355,910,145,3,1,4.1,Excellent taste and packaging.,2023-10-29
138,3051,585,413,4,1,4.6,One of my favourite restaurants.,2023-05-14
139,3844,770,76,2,4,1.5,Food was not as per menu description.,2022-01-22
140,4501,1864,85,4,2,4.3,Excellent taste and packaging.,2023-09-24
141,1236,592,162,4,1,4.9,Loved the paneer dishes.,2022-01-28
142,508,1337,412,3,1,4.0,Portion size could be bigger.,2022-04-02
143,2733,1176,203,2,4,3.8,Value for money.,2022-06-05
144,2560,979,193,5,4,1.4,"Good quality, reasonable price.",2023-05-10
145,1674,189,153,1,2,5.0,"Very bad experience, food was cold.",2022-12-14
146,2151,1700,430,1,3,1.6,"Good quality, reasonable price.",2022-12-03
147,4862,1737,475,3,5,1.2,Excellent taste and packaging.,2022-01-17
148,1936,392,29,5,4,1.2,"Average food, nothing special.",2022-03-23
149,3684,1318,24,3,3,2.9,Will definitely recommend to friends.,2022-07-08
150,3915,1502,88,5,1,4.0,Hygienic and tasty.,2022-11-21
151,4748,1522,152,3,1,3.9,"Too oily, not recommended.",2023-02-11
152,4797,31,187,2,5,1.9,Food was not as per menu description.,2023-10-24
153,3049,1483,111,1,1,3.3,"Good quality, reasonable price.",2022-06-03
154,3386,562,489,1,5,4.3,Loved the paneer dishes.,2023-10-31
155,2427,885,427,2,1,1.5,Food was not as per menu description.,2023-12-22
156,3876,457,454,4,3,4.1,"Fast delivery, fresh food.",2023-01-04
157,477,904,373,2,3,1.6,"Very bad experience, food was cold.",2023-01-20
158,3481,321,210,3,4,4.0,"Amazing food, will order again!",2023-07-31
159,4012,1221,83,2,3,4.7,"Very bad experience, food was cold.",2023-12-11
160,3181,1832,3,5,2,4.6,Loved the paneer dishes.,2023-03-27
161,866,69,229,4,5,5.0,Excellent taste and packaging.,2023-03-04
162,1537,1186,90,2,1,4.6,"Good quality, reasonable price.",2023-08-10
163,1301,1328,62,5,2,1.5,"Very bad experience, food was cold.",2023-01-09
164,1424,680,132,4,2,3.7,One of my favourite restaurants.,2023-09-18
165,1171,1172,208,1,3,4.5,"Too oily, not recommended.",2023-01-24
166,1121,1722,483,2,1,1.8,One of my favourite restaurants.,2023-01-22
167,2822,866,15,4,2,2.7,Hygienic and tasty.,2023-04-26
168,654,1772,70,2,3,4.4,Value for money.,2023-03-28
169,2605,398,458,1,3,3.7,Restaurant staff was helpful.,2023-02-13
170,4895,440,365,2,1,1.2,"Very bad experience, food was cold.",2022-01-15
171,1404,913,258,5,5,1.9,One of my favourite restaurants.,2023-03-08
172,1818,1859,194,1,4,2.4,"Average food, nothing special.",2022-09-01
173,2762,1304,297,1,2,1.9,Best biryani in the city!,2023-01-02
174,4841,1343,441,2,3,2.1,"Very bad experience, food was cold.",2022-07-23
175,4893,1130,12,3,3,4.0,Best biryani in the city!,2023-11-30
176,2022,549,389,5,1,3.3,"Fast delivery, fresh food.",2023-06-28
177,914,1026,154,2,4,4.6,Disappointed with the quality.,2023-10-06
178,2344,790,30,3,4,1.7,Value for money.,2022-10-11
179,365,1287,302,1,2,1.4,"Too oily, not recommended.",2023-06-08
180,1673,313,295,2,1,1.3,Disappointed with the quality.,2022-12-12
181,2753,1450,474,4,3,4.4,"Good quality, reasonable price.",2023-11-25
182,2829,666,387,3,4,4.0,"Very bad experience, food was cold.",2022-03-25
183,758,457,243,4,5,4.6,Restaurant staff was helpful.,2022-01-05
184,4049,1811,210,2,2,3.2,"Too oily, not recommended.",2023-12-13
185,3488,1720,134,2,4,3.3,"Too oily, not recommended.",2023-05-10
186,3071,640,388,1,2,4.2,Value for money.,2022-03-18
187,3502,1912,383,5,3,3.2,"Very bad experience, food was cold.",2022-12-31
188,2049,11,479,2,3,1.9,"Very bad experience, food was cold.",2023-03-31
189,555,1151,397,4,3,4.3,Value for money.,2023-12-24
190,3866,106,227,1,1,2.0,"Very bad experience, food was cold.",2022-06-03
191,4147,1141,408,3,1,4.9,Excellent taste and packaging.,2022-11-18
192,441,1584,234,3,1,1.5,Great ambience and service.,2023-12-17
193,2633,666,125,3,5,4.1,Delivery was late but food was good.,2022-10-24
194,1727,1931,302,4,2,3.7,Hygienic and tasty.,2022-12-20
195,119,316,496,4,1,4.5,Value for money.,2022-08-30
196,924,757,203,3,2,1.1,Food was not as per menu description.,2022-03-02
197,540,1710,500,1,2,3.6,"Very bad experience, food was cold.",2023-11-22
198,2355,22,176,4,1,1.1,"Too oily, not recommended.",2023-07-21
199,4381,1856,477,2,1,2.6,"Too oily, not recommended.",2022-01-07
200,2498,1184,365,2,2,4.9,Excellent taste and packaging.,2023-09-08
201,294,1880,23,1,4,3.7,Excellent taste and packaging.,2022-11-08
202,3577,1116,349,5,5,3.6,Will definitely recommend to friends.,2023-05-29
203,4026,1585,484,2,1,3.0,Great ambience and service.,2022-01-01
204,3887,309,334,3,4,3.5,Loved the paneer dishes.,2023-12-24
205,1136,1381,247,1,4,2.8,Will definitely recommend to friends.,2023-03-01
206,259,1748,40,1,4,3.2,Portion size could be bigger.,2022-04-21
207,1732,1529,112,2,4,1.9,Restaurant staff was helpful.,2022-06-13
208,1335,388,1,2,1,4.7,One of my favourite restaurants.,2022-09-03
209,1257,1207,21,4,3,1.3,Portion size could be bigger.,2023-01-22
210,3967,344,48,5,4,2.3,Loved the paneer dishes.,2023-08-09
211,1742,1727,65,3,2,1.3,"Fast delivery, fresh food.",2023-12-11
212,3324,1539,371,5,4,2.8,"Fast delivery, fresh food.",2023-06-08
213,4973,1893,374,3,5,5.0,"Too oily, not recommended.",2023-07-01
214,1423,740,318,5,2,2.1,"Too oily, not recommended.",2023-10-07
215,81,1437,39,2,1,3.1,Best biryani in the city!,2022-10-08
216,2014,1635,453,2,1,4.6,One of my favourite restaurants.,2023-05-28
217,1431,1081,370,3,4,2.7,Portion size could be bigger.,2022-03-19
218,4699,1516,481,2,1,3.0,"Fast delivery, fresh food.",2023-12-15
219,1875,1341,358,2,5,3.7,Value for money.,2022-04-05
220,600,577,293,4,2,1.2,"Average food, nothing special.",2023-03-20
221,694,1804,197,2,5,4.1,One of my favourite restaurants.,2022-09-06
222,1624,357,167,1,5,3.5,Portion size could be bigger.,2022-12-09
223,2790,943,238,5,3,3.2,"Good quality, reasonable price.",2023-07-10
224,510,1604,238,4,5,1.8,Delivery was late but food was good.,2023-01-22
225,3184,1940,265,5,2,1.2,Value for money.,2023-11-13
226,1498,48,183,3,2,1.9,Portion size could be bigger.,2023-10-11
227,1405,676,129,4,2,1.6,"Good quality, reasonable price.",2022-10-31
228,1683,1086,86,2,5,3.0,Food was not as per menu description.,2023-11-22
229,1296,1962,231,2,3,1.2,One of my favourite restaurants.,2023-06-08
230,724,12,402,1,1,4.0,Portion size could be bigger.,2023-09-15
231,879,634,266,5,1,4.5,Will definitely recommend to friends.,2022-10-28
232,242,490,348,1,5,3.3,Will definitely recommend to friends.,2022-09-09
233,4816,60,497,2,1,3.9,Restaurant staff was helpful.,2023-09-18
234,1418,1840,372,1,3,3.5,Disappointed with the quality.,2022-12-02
235,4561,760,221,5,5,2.5,Delivery was late but food was good.,2023-02-21
236,101,1080,96,1,1,2.8,Will definitely recommend to friends.,2023-05-02
237,4237,1102,55,5,1,1.1,Loved the paneer dishes.,2023-06-04
238,4850,1832,440,1,2,1.9,Portion size could be bigger.,2022-06-08
239,3712,620,353,3,5,1.6,Restaurant staff was helpful.,2022-12-04
240,1518,997,478,2,1,4.8,Value for money.,2022-03-28
241,4,143,97,4,4,1.3,Disappointed with the quality.,2023-06-25
242,4727,1991,69,5,4,4.5,One of my favourite restaurants.,2023-07-10
243,322,137,59,4,3,1.7,One of my favourite restaurants.,2022-01-30
244,3196,1782,445,3,2,2.7,Hygienic and tasty.,2022-10-07
245,1090,1211,241,2,1,2.6,Hygienic and tasty.,2022-05-03
246,3873,1510,245,4,5,3.1,Great ambience and service.,2023-01-06
247,4567,70,194,2,4,2.8,Delivery was late but food was good.,2022-06-07
248,1544,1439,400,2,3,1.5,"Good quality, reasonable price.",2023-07-15
249,3061,1199,140,3,3,1.8,Disappointed with the quality.,2022-09-07
250,3094,757,274,1,4,2.9,Restaurant staff was helpful.,2022-07-30
251,2466,1489,127,2,2,4.5,Best biryani in the city!,2023-06-02
252,1985,1624,274,4,3,4.9,Best biryani in the city!,2022-06-16
253,774,29,488,4,5,2.8,Restaurant staff was helpful.,2023-07-02
254,4523,1782,455,5,4,1.0,Loved the paneer dishes.,2023-05-24
255,685,1273,38,5,1,4.0,"Too oily, not recommended.",2022-07-11
256,1284,1877,261,1,2,3.9,Disappointed with the quality.,2022-09-27
257,1733,453,49,3,3,4.4,Hygienic and tasty.,2022-12-28
258,4399,98,440,4,4,1.1,Hygienic and tasty.,2023-01-19
259,3650,77,453,1,5,3.2,Excellent taste and packaging.,2022-10-24
260,1919,1250,149,5,2,4.8,Value for money.,2022-07-24
261,2784,1512,123,1,4,2.4,Disappointed with the quality.,2023-11-28
262,3815,718,389,5,5,3.5,Great ambience and service.,2023-08-15
263,2482,189,212,2,2,4.4,Will definitely recommend to friends.,2023-12-22
264,2586,1329,11,4,1,1.4,Best biryani in the city!,2023-02-18
265,3713,448,453,1,1,3.7,"Decent food, average service.",2022-07-13
266,4380,1774,98,5,1,2.3,"Too oily, not recommended.",2022-12-08
267,3539,1692,376,2,3,4.3,Restaurant staff was helpful.,2023-08-03
268,4338,1595,190,3,4,4.1,Excellent taste and packaging.,2022-12-04
269,476,228,63,4,5,2.3,Delivery was late but food was good.,2022-10-25
270,3347,731,485,3,1,1.7,"Very bad experience, food was cold.",2023-11-28
271,4313,1094,4,3,3,2.8,"Fast delivery, fresh food.",2023-01-02
272,3511,1225,338,3,5,4.2,Portion size could be bigger.,2022-08-13
273,123,1145,218,4,1,2.8,One of my favourite restaurants.,2022-04-02
274,1590,1970,113,4,1,2.8,Food was not as per menu description.,2023-04-19
275,1414,140,138,3,3,3.4,"Decent food, average service.",2022-03-29
276,126,459,313,3,3,2.2,Hygienic and tasty.,2023-06-25
277,4571,311,270,2,3,2.0,Restaurant staff was helpful.,2023-12-18
278,1402,701,81,3,5,4.6,"Fast delivery, fresh food.",2022-11-22
279,2217,1518,184,2,5,1.1,"Very bad experience, food was cold.",2023-10-11
280,2534,1106,492,4,5,3.0,"Very bad experience, food was cold.",2022-01-04
281,2943,550,8,4,2,2.7,One of my favourite restaurants.,2023-02-05
282,1534,986,302,2,5,2.2,One of my favourite restaurants.,2022-01-28
283,3191,1629,254,5,4,1.3,Loved the paneer dishes.,2022-05-31
284,961,369,249,2,2,2.4,Disappointed with the quality.,2023-05-29
285,2963,867,308,5,2,3.6,Great ambience and service.,2023-03-04
286,886,333,186,2,4,2.5,Hygienic and tasty.,2022-10-28
287,2533,1753,421,5,3,4.3,Portion size could be bigger.,2022-11-10
288,937,555,376,1,2,4.8,"Decent food, average service.",2023-10-02
289,4379,1097,101,3,5,3.2,"Fast delivery, fresh food.",2022-04-28
290,4682,283,392,5,4,2.2,Food was not as per menu description.,2023-07-30
291,3093,387,144,1,2,3.3,Delivery was late but food was good.,2023-08-12
292,649,1789,408,2,4,3.9,Food was not as per menu description.,2023-08-09
293,2540,1721,391,1,2,2.8,Disappointed with the quality.,2022-01-17
294,1637,1201,181,1,3,2.2,"Good quality, reasonable price.",2023-09-30
295,4241,1403,449,5,5,3.2,"Average food, nothing special.",2022-05-03
296,4403,1973,401,1,5,3.7,Delivery was late but food was good.,2023-07-27
297,3335,161,344,5,1,1.5,"Too oily, not recommended.",2022-06-18
298,1119,507,230,5,4,2.1,"Amazing food, will order again!",2023-07-23
299,2657,1777,321,1,3,1.9,Great ambience and service.,2022-08-11
300,2395,1284,184,5,1,1.6,Delivery was late but food was good.,2022-08-24
301,4471,1547,279,1,5,1.1,Food was not as per menu description.,2022-04-20
302,4569,196,491,5,2,2.9,Will definitely recommend to friends.,2022-08-04
303,4130,1139,476,4,1,1.7,Portion size could be bigger.,2022-02-18
304,39,1003,341,3,2,4.8,Excellent taste and packaging.,2023-03-22
305,1089,854,109,4,3,1.2,"Good quality, reasonable price.",2022-11-09
306,2508,1048,475,4,2,3.6,Disappointed with the quality.,2023-11-13
307,1571,222,447,3,5,4.1,Restaurant staff was helpful.,2023-06-09
308,68,113,198,4,2,2.7,Value for money.,2023-09-15
309,4864,579,440,3,1,2.8,Restaurant staff was helpful.,2023-03-22
310,3414,891,347,3,1,3.5,Best biryani in the city!,2022-12-13
311,4935,1411,235,1,4,3.3,Restaurant staff was helpful.,2023-02-02
312,2292,25,127,3,2,2.4,"Too oily, not recommended.",2023-07-13
313,2431,1929,13,5,3,4.7,Loved the paneer dishes.,2023-01-20
314,4955,1913,172,3,1,2.0,Food was not as per menu description.,2022-05-05
315,806,1467,274,3,1,2.9,Disappointed with the quality.,2023-04-20
316,2473,1309,133,1,1,4.6,"Fast delivery, fresh food.",2023-06-10
317,2967,1136,404,5,4,4.3,Disappointed with the quality.,2023-04-08
318,2932,173,308,5,2,2.1,Hygienic and tasty.,2022-01-01
319,64,1177,418,3,2,4.8,"Amazing food, will order again!",2023-10-17
320,4263,1819,147,1,1,2.8,"Decent food, average service.",2023-12-23
321,2833,1711,316,5,1,4.9,Loved the paneer dishes.,2023-07-15
322,2536,1629,395,1,5,3.5,Will definitely recommend to friends.,2022-12-05
323,3371,799,345,4,4,1.8,One of my favourite restaurants.,2022-10-10
324,474,696,136,2,3,1.2,Value for money.,2023-10-19
325,73,1385,38,4,2,2.9,Portion size could be bigger.,2023-01-30
326,2888,353,465,3,3,1.1,"Fast delivery, fresh food.",2022-03-03
327,517,1161,168,3,3,2.4,Hygienic and tasty.,2022-08-24
328,560,1231,125,1,2,1.8,"Very bad experience, food was cold.",2023-09-04
329,4071,1446,79,5,5,2.0,Best biryani in the city!,2022-11-27
330,4656,1825,219,5,4,4.0,Will definitely recommend to friends.,2023-02-09
331,4329,7,392,2,3,2.2,"Fast delivery, fresh food.",2022-06-17
332,2043,146,435,5,3,3.8,"Amazing food, will order again!",2023-07-06
333,630,82,295,5,2,1.4,Disappointed with the quality.,2023-02-05
334,3503,1524,266,4,2,3.8,Disappointed with the quality.,2022-02-04
335,1935,324,375,1,3,3.0,Excellent taste and packaging.,2023-07-17
336,3270,910,456,1,2,4.2,Disappointed with the quality.,2023-04-17
337,1205,577,220,1,4,1.2,Will definitely recommend to friends.,2022-08-14
338,3685,1579,78,1,3,2.5,Best biryani in the city!,2023-04-15
339,2405,429,22,1,1,4.5,Excellent taste and packaging.,2022-05-11
340,4852,476,307,4,5,4.1,Portion size could be bigger.,2022-10-16
341,3157,395,421,1,5,4.0,"Very bad experience, food was cold.",2022-05-18
342,4832,1420,366,5,3,1.1,Delivery was late but food was good.,2023-05-09
343,3258,1051,437,4,3,4.0,"Decent food, average service.",2023-01-10
344,51,1064,221,3,4,4.5,Will definitely recommend to friends.,2023-02-28
345,196,996,362,5,4,4.0,Hygienic and tasty.,2023-06-12
346,460,1869,262,4,4,2.2,Great ambience and service.,2023-04-06
347,3453,517,267,3,3,4.5,"Average food, nothing special.",2022-05-26
348,77,1875,70,1,4,3.6,Restaurant staff was helpful.,2022-08-16
349,4285,79,392,2,3,3.7,Loved the paneer dishes.,2022-04-18
350,3066,482,198,4,5,1.6,Hygienic and tasty.,2023-07-22
351,449,1012,348,4,3,2.0,"Average food, nothing special.",2023-02-16
352,2924,633,6,2,1,4.6,"Decent food, average service.",2023-01-13
353,1539,708,314,4,3,1.4,Best biryani in the city!,2022-03-19
354,92,1572,45,4,5,4.0,"Decent food, average service.",2023-01-18
355,2938,1328,354,5,3,4.0,Loved the paneer dishes.,2023-01-19
356,3952,346,47,2,3,2.4,"Good quality, reasonable price.",2023-09-01
357,955,1827,61,4,3,2.4,"Very bad experience, food was cold.",2023-03-25
358,3899,663,129,2,1,2.4,Best biryani in the city!,2022-01-15
359,4473,413,202,5,4,3.6,"Too oily, not recommended.",2022-07-07
360,3744,440,403,4,2,1.8,Great ambience and service.,2022-07-31
361,3694,1993,263,2,1,1.4,Restaurant staff was helpful.,2023-02-14
362,2086,1540,446,4,5,1.4,Restaurant staff was helpful.,2023-05-27
363,3939,1103,147,3,3,2.1,"Fast delivery, fresh food.",2022-06-28
364,4271,817,86,1,2,4.3,Disappointed with the quality.,2022-12-29
365,2535,1907,18,1,3,1.6,"Very bad experience, food was cold.",2023-11-27
366,1627,1700,187,2,2,2.2,Excellent taste and packaging.,2023-12-12
367,536,25,212,3,1,3.6,Restaurant staff was helpful.,2022-07-31
368,1203,1693,368,5,2,2.6,"Good quality, reasonable price.",2022-10-17
369,1400,127,263,5,2,4.1,Hygienic and tasty.,2023-09-10
370,3069,45,209,4,4,4.7,Delivery was late but food was good.,2023-10-29
371,4879,1236,479,1,1,2.8,"Average food, nothing special.",2023-08-12
372,797,504,134,1,1,3.7,"Amazing food, will order again!",2022-01-24
373,2503,328,8,5,3,3.2,Disappointed with the quality.,2023-12-09
374,1003,1816,55,2,5,2.3,"Average food, nothing special.",2023-10-05
375,1358,1985,399,2,1,4.5,"Decent food, average service.",2023-12-17
376,3009,1646,284,1,3,2.6,Will definitely recommend to friends.,2022-09-14
377,645,1426,74,2,4,2.7,"Decent food, average service.",2023-12-13
378,3203,797,44,3,4,1.1,Excellent taste and packaging.,2023-09-19
379,2892,1203,401,2,5,4.7,"Very bad experience, food was cold.",2022-08-08
380,3454,125,49,2,5,1.5,"Amazing food, will order again!",2022-02-05
381,1540,1150,371,5,3,4.0,"Fast delivery, fresh food.",2023-10-04
382,1303,179,42,1,4,4.5,One of my favourite restaurants.,2023-03-29
383,2094,162,125,2,3,2.1,Loved the paneer dishes.,2022-02-03
384,4061,1333,70,4,2,2.0,Great ambience and service.,2022-02-28
385,4778,1289,283,5,5,2.7,Value for money.,2023-12-13
386,1320,1088,468,4,2,2.2,Will definitely recommend to friends.,2022-07-22
387,4764,516,149,5,1,3.7,Restaurant staff was helpful.,2023-08-07
